StakeholderID;StakeholderName;StakeholderProfession
348;L I Construction;Fabricator
33;Anders Associates;Engineer
478;Quay2c Architects;Architect
612;Vorarlberger Ökohaus GmbH;Fabricator
276;Holzbox Tirol;Architect
37;Anton Höss;Architect
554;Stjern;Fabricator
114;Brendeland & Kristoffersen Arkitekter;Architect
510;Santner & Spehs OEG;Fabricator
171;Dietrich Untertrifaller Architekten;Architect
198;Eurban;Fabricator
220;Fussenegger Holzbau GmbH;Fabricator
259;Hermann Kaufmann + Partner ZT GmbH;Architect
283;Hubert Riess;Architect
318;JR Consult;Engineer
287;i+R Holzbau GmbH;Fabricator
315;Johannes Kaufmann Architektur;Architect
334;KLH MASSIVHOLZ GMBH;Fabricator
346;Kulmer Holz-Leimbau GesmbH;Fabricator
380;Makiol Wiederkehr;Engineer
398;Merz Kley Partner;Engineer
430;Nowy Zorn ZT GmbH;Engineer
490;Renggli AG;Fabricator
493;Riepl Riepl Architekten;Architect
517;Scheitlin-Syfrig;Architect
550;sps architekten;Architect
603;Vandkunsten Architects;Architect
633;Woschitz Group;Engineer
108;Borlini & Zanani SA;Engineer
353;Laube SA;Fabricator
366;Lorenzo Felder Architects;Architect
224;Gandelli Group;Fabricator
555;Stora Ense;Fabricator
650;Sample Stakeholder;Engineer
