ProjectName,ProjectID,YearBuilt,StakeholderNames,StakeholderID (aus StakeholderNames)
Trähus 2001,1,2000,"Santner & Spehs OEG,Vandkunsten Architects","510, 603"
Housing Block in Merano,2,2003,"Vorarlberger Ökohaus GmbH,Holzbox Tirol,Anton Höss,i+R Holzbau GmbH","612, 276, 37, 287"
Spöttlgasse,3,2004,"Anders Associates,Hubert Riess,JR Consult,KLH MASSIVHOLZ GMBH,Kulmer Holz-Leimbau GesmbH,Woschitz Group","33, 283, 318, 334, 346, 633"
"Altenpflegeheim Höchsterstraße (Pflegeheim Dornbirn, Dornbirn Nursing Home)",4,2005,"Fussenegger Holzbau GmbH,Hermann Kaufmann + Partner ZT GmbH,Johannes Kaufmann Architektur,Riepl Riepl Architekten","220, 259, 315, 493"
Svartamoen Place,5,2005,"Stjern,Brendeland & Kristoffersen Arkitekter,Santner & Spehs OEG","554, 114, 510"
Fairmules House,6,2006,"L I Construction,Anders Associates,Quay2c Architects,Eurban","348, 33, 478, 198"
Holzhausen,7,2006,"Vorarlberger Ökohaus GmbH,Makiol Wiederkehr,Renggli AG,Scheitlin-Syfrig","612, 380, 490, 517"
WHA am Mühlweg Bauteil A (Wohnanlage Mühlweg),8,2006,"Hermann Kaufmann + Partner ZT GmbH,i+R Holzbau GmbH,Merz Kley Partner","259, 287, 398"
WHA am Mühlweg Bauteil C,9,2006,Dietrich Untertrifaller Architekten,171
Wohnanlage Samer Mösl,10,2006,"Nowy Zorn ZT GmbH,sps architekten","430, 550"
Casa Montarina,11,2007,"Borlini & Zanani SA,Laube SA,Lorenzo Felder Architects,Gandelli Group,Stora Ense","108, 353, 366, 224, 555"
