StakeholderID,StakeholderName,StakeholderProfession,StakeholderCountry,ProjectID
348,L I Construction,Fabricator,GB,6
33,Anders Associates,Engineer,GB,"3,6"
478,Quay2c Architects,Architect,GB,6
612,Vorarlberger Ökohaus GmbH,Fabricator,AT,"2,7"
276,Holzbox Tirol,Architect,AT,2
37,Anton Höss,Architect,AT,2
554,Stjern,Fabricator,NO,5
114,Brendeland & Kristoffersen Arkitekter,Architect,NO,5
510,Santner & Spehs OEG,Fabricator,AT,"1,5"
171,Dietrich Untertrifaller Architekten,Architect,AT,9
198,Eurban,Fabricator,GB,6
220,Fussenegger Holzbau GmbH,Fabricator,AT,4
259,Hermann Kaufmann + Partner ZT GmbH,Architect,AT,"4,8"
283,Hubert Riess,Architect,AT,3
318,JR Consult,Engineer,AT,3
287,i+R Holzbau GmbH,Fabricator,AT,"2,8"
315,Johannes Kaufmann Architektur,Architect,AT,4
334,KLH MASSIVHOLZ GMBH,Fabricator,AT,3
346,Kulmer Holz-Leimbau GesmbH,Fabricator,AT,3
380,Makiol Wiederkehr,Engineer,CH,7
398,Merz Kley Partner,Engineer,AT,8
430,Nowy Zorn ZT GmbH,Engineer,AT,10
490,Renggli AG,Fabricator,CH,7
493,Riepl Riepl Architekten,Architect,AT,4
517,Scheitlin-Syfrig,Architect,CH,7
550,sps architekten,Architect,AT,10
603,Vandkunsten Architects,Architect,DK,1
633,Woschitz Group,Engineer,AT,3
108,Borlini & Zanani SA,Engineer,CH,11
353,Laube SA,Fabricator,CH,11
366,Lorenzo Felder Architects,Architect,CH,11
224,Gandelli Group,Fabricator,IT,11
555,Stora Ense,Fabricator,FI,11
